size,equal,default_sha256,lcd_sha256
12,no,fdebc2431e7a3bfccada45516650093acae05f18088eddc96642de2723180072,574d913641f53731b05d68171964dd66f546f1cdb3d260c970d43d895bf9bede
14,no,41e0d3ce83971f27471dec41c7d856d490fa73c970f76e92e765a9389efc16f5,61b8af5d3a23f4a827e71cac2c84c3bfd549f0bd36f3909bddd697bd84bd74cc
16,no,052f4efa6abdc66f20cf4ddac1a1a286a0bbabfc64dfb1af6a1908669f6fe44d,8b122a31649b9ba733012ec40852f976d6cb53618521ad7965d7ff0582503288
20,no,609405820ea3ed8b169f9814cc956a0f25ab107ad9d9e32ea6ac4dff61404ee8,dde9af6f7574f5927e774d53eb922867dddc6fb7be2d567f4b6228595b3eaa5f
